color code,Name,Length (km),Suitable for
,,,
,,,
4F25EF,Val Thorens,150 km,versatile
4774CF,Tignes,300 km,versatile
00D3FF,Chamonix,155 km,"advanced, off-piste"
4866D5,Val d'Isère,300 km,versatile
4579CC,La Plagne,225 km,"intermediates, families"
4C3FE5,Méribel,150 km,versatile
3A87D4,Les Arcs,200 km,"intermediates, advanced"
02F8F4,Avoriaz,78 km,"families, intermediates, snowboarding"
520BFA,Les Menuires,160 km,"intermediates, families"
02FEF3,Morzine,120 km,"beginners, intermediates"
7601FF,Les Deux Alpes,225 km,versatile
7E00FF,Serre Chevalier,250 km,"intermediates, advanced"
6501FF,Alpe d'Huez,250 km,versatile
00DDFB,Flaine,265 km,versatile
4A4BDF,Courchevel,150 km,versatile
0CC1F6,La Clusaz,132 km,versatile
2A9ADF,La Rosière,152 km,"intermediates, advanced"
6D00FF,Montgenèvre,100 km,"intermediates, advanced"
5118F5,Val Cenis,100 km,"intermediates, families"
4959DA,St Martin de Belleville,100 km,"intermediates, families"
9700FF,Isola 2000,120 km,"intermediates, families"
8700FF,Risoul,185 km,"intermediates, advanced"
4D31EA,Valmorel,165 km,"intermediates, families"
01EDF7,Les Gets,120 km,"families, intermediates"
5D00FF,Vaujany,249 km,"families,beginners, experts"
23A5E6,Les Saisies,77 km,"beginners, intermediates"
00D8FD,Les Houches,55 km,"intermediates, advanced"
04CBFC,Saint Gervais les Bains,65 km,"beginners,intermediates, advanced"
00E2F9,Les Carroz,28 km,"intermediates, advanced"
8F00FF,Les Orres,63 km,"beginners,intermediates"
